Name,DoB,Quiz Score
Liam Johnson,1980-01-01,15
Emma McCarthy,2003-06-05,8
James O'Sullivan,2002-07-18,6
Michael O'Sullivan,2003-02-14,13
Ava Kelly,2002-10-10,8
Ava Kelly,2003-01-02,8
Liam Johnson,2002-12-30,9
Olivia McDonald,2003-07-12,12
Noah Anderson,2002-06-25,4
Sophia Murphy,2003-03-14,11
Aaron Wilson,2002-10-08,1
Grace Kelly,2003-05-04,14
Matthew Roberts,2002-08-17,13
Amelia O'Brien,2003-02-08,15
Daniel Hughes,2002-11-23,9
Mia Graham,2003-08-10,8
Katie Byrne,2002-09-15,5
Katie Byrne,2002-09-15,7
Conor Fitzgerald,2002-12-29,1
Ava Wallace,2003-07-30,10
Joseph Reid,2002-06-10,5
Joseph Reid,2002-06-10,7
Sofia Stewart,2003-02-27,14
David Thompson,2002-11-13,10
Lily Turner,2003-05-09,15
James Campbell,2002-08-22,6
Lucy Moore,2003-02-13,1
Benjamin Bell,2002-11-06,15
Lily Martin,2003-07-31,12
Adam Johnston,2003-01-25,5
Adam Johnston,2003-01-25,9
Lily McCarthy,2002-09-08,3
Isabella Fitzgerald,2002-08-03,6
Christopher Watson,2002-06-16,9
Emily Cooper,2003-06-24,6
William King,2002-08-07,14
David Ward,2002-06-02,5
David Ward,2002-06-02,5
Sophie Ryan,2002-04-18,8
Daniel McMahon,2002-11-07,15
Ryan Hughes,2002-08-26,11
Ava Hamilton,2003-01-18,9
Matthew Butler,2002-09-10,14
Mia Miller,2003-05-05,6
Logan Rossi,2002-07-19,5
Emily Kennedy,2003-07-13,14
Joseph Mitchell,2002-06-26,7
Lily Young,2003-03-15,15
William Murphy,2002-10-09,12
David Hill,2002-12-29,4
Ava Wright,2003-07-11,3
Noah Ward,2002-06-24,7
Joshua McMahon,2003-03-07,3
Sophie Kelly,2002-11-15,9
Sofia Clark,2003-02-08,7
Michael Brown,2002-11-23,9
William Hughes,2003-06-09,4
Amelia O'Connell,2002-04-23,1
Joseph Ryan,2002-09-29,11
Olivia Parker,2003-05-19,13
Sarah Smith,2003-02-18,4
Michael Kelly,2002-09-22,1
Aoife Byrne,2003-05-09,5
Emily O'Brien,2002-07-26,9
Liam McCarthy,2003-01-18,11
Aoife Byrne,2003-05-09,6
Mark Murphy,2002-11-27,10
Emma Reid,2002-07-02,4
Emma Reid,2002-07-02,7
James Johnson,2002-12-13,6
Liam O'Sullivan,2003-08-05,15
Emily Wilson,2002-10-31,12
Owen O'Connor,2003-06-24,2
Ruby Jones,2002-05-17,12
Emma Smith,2002-07-21,12
Charlie O'Connor,2002-06-30,10
Grace Johnston,2003-05-01,10
Noah Campbell,2002-12-12,8
Olivia Wilson,2003-05-17,11
